Blue Velvet|https://www.imsdb.com/scripts/Blue-Velvet.html
Blues Brothers, The|https://www.imsdb.com/scripts/Blues-Brothers,-The.pdf
Bodies, Rest & Motion|https://www.imsdb.com/scripts/Bodies,-Rest-&-Motion.html
Body Heat|https://www.imsdb.com/scripts/Body-Heat.html
Body of Evidence|https://www.imsdb.com/scripts/Body-of-Evidence.html
Bodyguard|https://www.imsdb.com/scripts/Bodyguard.html
Bones|https://www.imsdb.com/scripts/Bones.html
Bonfire of the Vanities|https://www.imsdb.com/scripts/Bonfire-of-the-Vanities.html
Bonnie and Clyde|https://www.imsdb.com/scripts/Bonnie-and-Clyde.html
Boogie Nights|https://www.imsdb.com/scripts/Boogie-Nights.html
Book of Eli, The|https://www.imsdb.com/scripts/Book-of-Eli,-The.html
Boondock Saints 2: All Saints Day|https://www.imsdb.com/scripts/Boondock-Saints-2-All-Saints-Day.html
Boondock Saints, The|https://www.imsdb.com/scripts/Boondock-Saints,-The.html
Bottle Rocket|https://www.imsdb.com/scripts/Bottle-Rocket.html
Bound|https://www.imsdb.com/scripts/Bound.html
Bounty Hunter, The|https://www.imsdb.com/scripts/Bounty-Hunter,-The.html
Bourne Identity, The|https://www.imsdb.com/scripts/Bourne-Identity,-The.html
Bourne Supremacy, The|https://www.imsdb.com/scripts/Bourne-Supremacy,-The.html
Bourne Ultimatum, The|https://www.imsdb.com/scripts/Bourne-Ultimatum,-The.html
Box, The|https://www.imsdb.com/scripts/Box,-The.html
Boxtrolls, The|https://www.imsdb.com/scripts/Boxtrolls,-The.html
Boyhood|https://www.imsdb.com/scripts/Boyhood.html
Braveheart|https://www.imsdb.com/scripts/Braveheart.html
Brazil|https://www.imsdb.com/scripts/Brazil.html
Break|https://www.imsdb.com/scripts/Break.html
Breakdown|https://www.imsdb.com/scripts/Breakdown.html
Breakfast Club, The|https://www.imsdb.com/scripts/Breakfast-Club,-The.html
Breaking Away|https://www.imsdb.com/scripts/Breaking-Away.html
Brick|https://www.imsdb.com/scripts/Brick.html
Bridesmaids|https://www.imsdb.com/scripts/Bridesmaids.html
Bringing Out the Dead|https://www.imsdb.com/scripts/Bringing-Out-the-Dead.html
Broadcast News|https://www.imsdb.com/scripts/Broadcast-News.html
Broken Arrow|https://www.imsdb.com/scripts/Broken-Arrow.html
Broken Embraces|https://www.imsdb.com/scripts/Broken-Embraces.html
Brothers Bloom, The|https://www.imsdb.com/scripts/Brothers-Bloom,-The.html
Bruce Almighty|https://www.imsdb.com/scripts/Bruce-Almighty.html
Buffy the Vampire Slayer|https://www.imsdb.com/scripts/Buffy-the-Vampire-Slayer.html
Bull Durham|https://www.imsdb.com/scripts/Bull-Durham.html
Buried|https://www.imsdb.com/scripts/Buried.html
Burlesque|https://www.imsdb.com/scripts/Burlesque.html
Burn After Reading|https://www.imsdb.com/scripts/Burn-After-Reading.html
Burning Annie|https://www.imsdb.com/scripts/Burning-Annie.html
Butterfly Effect, The|https://www.imsdb.com/scripts/Butterfly-Effect,-The.html
Cable Guy|https://www.imsdb.com/scripts/Cable-Guy.html
Candle to Water|https://www.imsdb.com/scripts/Candle-to-Water.html
Capote|https://www.imsdb.com/scripts/Capote.html
Carrie|https://www.imsdb.com/scripts/Carrie.html
Cars 2|https://www.imsdb.com/scripts/Cars-2.html
Case 39|https://www.imsdb.com/scripts/Case-39.html
Casino|https://www.imsdb.com/scripts/Casino.html
Cast Away|https://www.imsdb.com/scripts/Cast-Away.html
Catch Me If You Can|https://www.imsdb.com/scripts/Catch-Me-If-You-Can.html
Catwoman|https://www.imsdb.com/scripts/Catwoman.html
Cecil B. Demented|https://www.imsdb.com/scripts/Cecil-B.-Demented.html
Cedar Rapids|https://www.imsdb.com/scripts/Cedar-Rapids.html
Celeste & Jesse Forever|https://www.imsdb.com/scripts/Celeste-&-Jesse-Forever.html
Cell, The|https://www.imsdb.com/scripts/Cell,-The.html
Cellular|https://www.imsdb.com/scripts/Cellular.html
Change-Up, The|https://www.imsdb.com/scripts/Change-Up,-The.html
Changeling|https://www.imsdb.com/scripts/Changeling.html
Chaos|https://www.imsdb.com/scripts/Chaos.html
Charade|https://www.imsdb.com/scripts/Charade.html
Charlie's Angels|https://www.imsdb.com/scripts/Charlie's-Angels.html
Chasing Amy|https://www.imsdb.com/scripts/Chasing-Amy.html
Chasing Sleep|https://www.imsdb.com/scripts/Chasing-Sleep.html
Cherry Falls|https://www.imsdb.com/scripts/Cherry-Falls.html
Chinatown|https://www.imsdb.com/scripts/Chinatown.html
Christ Complex|https://www.imsdb.com/scripts/Christ-Complex.html
Chronicle|https://www.imsdb.com/scripts/Chronicle.html
Chronicles of Narnia: The Lion, the Witch and the Wardrobe|https://www.imsdb.com/scripts/Chronicles-of-Narnia-The-Lion,-the-Witch-and-the-Wardrobe.html
Cider House Rules, The|https://www.imsdb.com/scripts/Cider-House-Rules,-The.html
Cincinnati Kid, The|https://www.imsdb.com/scripts/Cincinnati-Kid,-The.html
Cinema Paradiso|https://www.imsdb.com/scripts/Cinema-Paradiso.html
Cirque du Freak: The Vampire's Assistant|https://www.imsdb.com/scripts/Cirque-du-Freak-The-Vampire's-Assistant.html
Citizen Kane|https://www.imsdb.com/scripts/Citizen-Kane.html
City of Joy|https://www.imsdb.com/scripts/City-of-Joy.html
Clash of the Titans|https://www.imsdb.com/scripts/Clash-of-the-Titans.html
Clerks|https://www.imsdb.com/scripts/Clerks.html
Cliffhanger|https://www.imsdb.com/scripts/Cliffhanger.html
Clockwork Orange, A|https://www.imsdb.com/scripts/Clockwork-Orange,-A.pdf
Clueless|https://www.imsdb.com/scripts/Clueless.html
Cobb|https://www.imsdb.com/scripts/Cobb.html
Coco|https://www.imsdb.com/scripts/Coco.html
Code of Silence|https://www.imsdb.com/scripts/Code-of-Silence.html
Cold Mountain|https://www.imsdb.com/scripts/Cold-Mountain.html
Collateral|https://www.imsdb.com/scripts/Collateral.html
Collateral Damage|https://www.imsdb.com/scripts/Collateral-Damage.html
Colombiana|https://www.imsdb.com/scripts/Colombiana.html
Color of Night|https://www.imsdb.com/scripts/Color-of-Night.html
Commando|https://www.imsdb.com/scripts/Commando.html
Conan the Barbarian|https://www.imsdb.com/scripts/Conan-the-Barbarian.html
Confessions of a Dangerous Mind|https://www.imsdb.com/scripts/Confessions-of-a-Dangerous-Mind.html
Confidence|https://www.imsdb.com/scripts/Confidence.html
Constantine|https://www.imsdb.com/scripts/Constantine.html
Cooler, The|https://www.imsdb.com/scripts/Cooler,-The.html
Copycat|https://www.imsdb.com/scripts/Copycat.html
Coraline|https://www.imsdb.com/scripts/Coraline.html
Coriolanus|https://www.imsdb.com/scripts/Coriolanus.html
Courage Under Fire|https://www.imsdb.com/scripts/Courage-Under-Fire.pdf
Cowboys & Aliens|https://www.imsdb.com/scripts/Cowboys-&-Aliens.html
Cradle 2 the Grave|https://www.imsdb.com/scripts/Cradle-2-the-Grave.html
Crank|https://www.imsdb.com/scripts/Crank.html
Crash|https://www.imsdb.com/scripts/Crash.html
Crazy, Stupid, Love|https://www.imsdb.com/scripts/Crazy,-Stupid,-Love.html
Crazylove|https://www.imsdb.com/scripts/Crazylove.html
Creation|https://www.imsdb.com/scripts/Creation.html
Crime Spree|https://www.imsdb.com/scripts/Crime-Spree.html
Croods, The|https://www.imsdb.com/scripts/Croods,-The.html
Crouching Tiger, Hidden Dragon|https://www.imsdb.com/scripts/Crouching-Tiger,-Hidden-Dragon.html
Croupier|https://www.imsdb.com/scripts/Croupier.html
Crow Salvation, The|https://www.imsdb.com/scripts/Crow-Salvation,-The.html
Crow, The|https://www.imsdb.com/scripts/Crow,-The.html
Crow: City of Angels, The|https://www.imsdb.com/scripts/Crow-City-of-Angels,-The.html
Cruel Intentions|https://www.imsdb.com/scripts/Cruel-Intentions.html
Crying Game|https://www.imsdb.com/scripts/Crying-Game.html
Cube|https://www.imsdb.com/scripts/Cube.html
Curious Case of Benjamin Button, The|https://www.imsdb.com/scripts/Curious-Case-of-Benjamin-Button,-The.html
Custody|https://www.imsdb.com/scripts/Custody.html
Dallas Buyers Club|https://www.imsdb.com/scripts/Dallas-Buyers-Club.html
Damned United, The|https://www.imsdb.com/scripts/Damned-United,-The.html
Dances with Wolves|https://www.imsdb.com/scripts/Dances-with-Wolves.html
Dark City|https://www.imsdb.com/scripts/Dark-City.html
Dark Knight Rises, The|https://www.imsdb.com/scripts/Dark-Knight-Rises,-The.html
Dark Star|https://www.imsdb.com/scripts/Dark-Star.html
Darkman|https://www.imsdb.com/scripts/Darkman.html
Date Night|https://www.imsdb.com/scripts/Date-Night.html
Dave Barry's Complete Guide to Guys|https://www.imsdb.com/scripts/Dave-Barry's-Complete-Guide-to-Guys.html
Dawn of the Dead|https://www.imsdb.com/scripts/Dawn-of-the-Dead.html
Day of the Dead|https://www.imsdb.com/scripts/Day-of-the-Dead.html
Day the Clown Cried, The|https://www.imsdb.com/scripts/Day-the-Clown-Cried,-The.html
Day the Earth Stood Still, The|https://www.imsdb.com/scripts/Day-the-Earth-Stood-Still,-The.html
Days of Heaven|https://www.imsdb.com/scripts/Days-of-Heaven.html
Dead Poets Society|https://www.imsdb.com/scripts/Dead-Poets-Society.html
Deadpool|https://www.imsdb.com/scripts/Deadpool.html
Dear White People|https://www.imsdb.com/scripts/Dear-White-People.html
Death at a Funeral|https://www.imsdb.com/scripts/Death-at-a-Funeral.html
Death to Smoochy|https://www.imsdb.com/scripts/Death-to-Smoochy.html
Debt, The|https://www.imsdb.com/scripts/Debt,-The.html
Deception|https://www.imsdb.com/scripts/Deception.html
Deep Cover|https://www.imsdb.com/scripts/Deep-Cover.html
Deep Rising|https://www.imsdb.com/scripts/Deep-Rising.html
Deer Hunter, The|https://www.imsdb.com/scripts/Deer-Hunter,-The.html
Defiance|https://www.imsdb.com/scripts/Defiance.html
Departed, The|https://www.imsdb.com/scripts/Departed,-The.html
Descendants, The|https://www.imsdb.com/scripts/Descendants,-The.html
Despicable Me 2|https://www.imsdb.com/scripts/Despicable-Me-2.html
Detroit Rock City|https://www.imsdb.com/scripts/Detroit-Rock-City.html
Devil in a Blue Dress|https://www.imsdb.com/scripts/Devil-in-a-Blue-Dress.html
Devil's Advocate|https://www.imsdb.com/scripts/Devil's-Advocate.html
Die Hard|https://www.imsdb.com/scripts/Die-Hard.html
Die Hard 2|https://www.imsdb.com/scripts/Die-Hard-2.html
Diner|https://www.imsdb.com/scripts/Diner.html
Distinguished Gentleman, The|https://www.imsdb.com/scripts/Distinguished-Gentleman,-The.html
Disturbia|https://www.imsdb.com/scripts/Disturbia.html
Django Unchained|https://www.imsdb.com/scripts/Django-Unchained.html
Do The Right Thing|https://www.imsdb.com/scripts/Do-The-Right-Thing.html
Dog Day Afternoon|https://www.imsdb.com/scripts/Dog-Day-Afternoon.html
Dogma|https://www.imsdb.com/scripts/Dogma.html
Donnie Brasco|https://www.imsdb.com/scripts/Donnie-Brasco.html
Doors, The|https://www.imsdb.com/scripts/Doors,-The.html
Double Indemnity|https://www.imsdb.com/scripts/Double-Indemnity.html
Drag Me to Hell|https://www.imsdb.com/scripts/Drag-Me-to-Hell.html
Dragonslayer|https://www.imsdb.com/scripts/Dragonslayer.html
Drive|https://www.imsdb.com/scripts/Drive.html
Drive Angry|https://www.imsdb.com/scripts/Drive-Angry.html
Drop Dead Gorgeous|https://www.imsdb.com/scripts/Drop-Dead-Gorgeous.html
Dry White Season, A|https://www.imsdb.com/scripts/Dry-White-Season,-A.html
Duck Soup|https://www.imsdb.com/scripts/Duck-Soup.html
Dumb and Dumber|https://www.imsdb.com/scripts/Dumb-and-Dumber.html
Dune|https://www.imsdb.com/scripts/Dune.html
E.T.|https://www.imsdb.com/scripts/E.T..html
Eagle Eye|https://www.imsdb.com/scripts/Eagle-Eye.html
Eastern Promises|https://www.imsdb.com/scripts/Eastern-Promises.html
Easy A|https://www.imsdb.com/scripts/Easy-A.html
Ed TV|https://www.imsdb.com/scripts/Ed-TV.html
Ed Wood|https://www.imsdb.com/scripts/Ed-Wood.html
Edward Scissorhands|https://www.imsdb.com/scripts/Edward-Scissorhands.html
Eight Legged Freaks|https://www.imsdb.com/scripts/Eight-Legged-Freaks.html
El Mariachi|https://www.imsdb.com/scripts/El-Mariachi.html
Election|https://www.imsdb.com/scripts/Election.html
Elephant Man, The|https://www.imsdb.com/scripts/Elephant-Man,-The.html
Elizabeth: The Golden Age|https://www.imsdb.com/scripts/Elizabeth-The-Golden-Age.html
Enemy of the State|https://www.imsdb.com/scripts/Enemy-of-the-State.html
English Patient, The|https://www.imsdb.com/scripts/English-Patient,-The.html
Enough|https://www.imsdb.com/scripts/Enough.html
Entrapment|https://www.imsdb.com/scripts/Entrapment.html
Equilibrium|https://www.imsdb.com/scripts/Equilibrium.pdf
Erik the Viking|https://www.imsdb.com/scripts/Erik-the-Viking.html
Erin Brockovich|https://www.imsdb.com/scripts/Erin-Brockovich.html
Escape From L.A.|https://www.imsdb.com/scripts/Escape-From-L.A..html
Escape From New York|https://www.imsdb.com/scripts/Escape-From-New-York.html
Eternal Sunshine of the Spotless Mind|https://www.imsdb.com/scripts/Eternal-Sunshine-of-the-Spotless-Mind.html
Even Cowgirls Get the Blues|https://www.imsdb.com/scripts/Even-Cowgirls-Get-the-Blues.html
Event Horizon|https://www.imsdb.com/scripts/Event-Horizon.html
Evil Dead|https://www.imsdb.com/scripts/Evil-Dead.html
Evil Dead II: Dead by Dawn|https://www.imsdb.com/scripts/Evil-Dead-II-Dead-by-Dawn.html
Ex Machina|https://www.imsdb.com/scripts/Ex-Machina.html
Excalibur|https://www.imsdb.com/scripts/Excalibur.html
eXistenZ|https://www.imsdb.com/scripts/eXistenZ.html
Extract|https://www.imsdb.com/scripts/Extract.html
Fabulous Baker Boys, The|https://www.imsdb.com/scripts/Fabulous-Baker-Boys,-The.html
Face Off|https://www.imsdb.com/scripts/Face-Off.html
Fair Game|https://www.imsdb.com/scripts/Fair-Game.html
Family Man, The|https://www.imsdb.com/scripts/Family-Man,-The.html
Fantastic Four|https://www.imsdb.com/scripts/Fantastic-Four.html
Fantastic Mr Fox|https://www.imsdb.com/scripts/Fantastic-Mr-Fox.html
Fargo|https://www.imsdb.com/scripts/Fargo.html
Fast Times at Ridgemont High|https://www.imsdb.com/scripts/Fast-Times-at-Ridgemont-High.html
Fatal Instinct|https://www.imsdb.com/scripts/Fatal-Instinct.html
Fault in Our Stars, The|https://www.imsdb.com/scripts/Fault-in-Our-Stars,-The.html
Fear and Loathing in Las Vegas|https://www.imsdb.com/scripts/Fear-and-Loathing-in-Las-Vegas.html
Feast|https://www.imsdb.com/scripts/Feast.html
Ferris Bueller's Day Off|https://www.imsdb.com/scripts/Ferris-Bueller's-Day-Off.html
Field of Dreams|https://www.imsdb.com/scripts/Field-of-Dreams.html
Fifth Element, The|https://www.imsdb.com/scripts/Fifth-Element,-The.html
Fight Club|https://www.imsdb.com/scripts/Fight-Club.html
Fighter, The|https://www.imsdb.com/scripts/Fighter,-The.html
Final Destination|https://www.imsdb.com/scripts/Final-Destination.html
Final Destination 2|https://www.imsdb.com/scripts/Final-Destination-2.html
Finding Nemo|https://www.imsdb.com/scripts/Finding-Nemo.html
Five Easy Pieces|https://www.imsdb.com/scripts/Five-Easy-Pieces.html
Flash Gordon|https://www.imsdb.com/scripts/Flash-Gordon.html
Fletch|https://www.imsdb.com/scripts/Fletch.html
Flight|https://www.imsdb.com/scripts/Flight.html
